"Soort misdrijf";"Perioden";"Wijken en buurten";"Geregistreerde misdrijven (aantal)"
"1.1.1 Diefstal/inbraak woning";"2017";"Felix Meritisbuurt";"       8"
"1.1.1 Diefstal/inbraak woning";"2018";"Felix Meritisbuurt";"       6"
"1.1.1 Diefstal/inbraak woning";"2019";"Felix Meritisbuurt";"      16"
"1.1.1 Diefstal/inbraak woning";"2020";"Felix Meritisbuurt";"       9"
"1.1.1 Diefstal/inbraak woning";"2021";"Felix Meritisbuurt";"       8"
"1.1.1 Diefstal/inbraak woning";"2022";"Felix Meritisbuurt";"      16"
"1.1.1 Diefstal/inbraak woning";"2023";"Felix Meritisbuurt";"      13"
"1.1.1 Diefstal/inbraak woning";"2012";"Leidsegracht-Noord";"       3"
"1.1.1 Diefstal/inbraak woning";"2013";"Leidsegracht-Noord";"       3"
"1.1.1 Diefstal/inbraak woning";"2014";"Leidsegracht-Noord";"       3"
"1.1.1 Diefstal/inbraak woning";"2015";"Leidsegracht-Noord";"       8"
"1.1.1 Diefstal/inbraak woning";"2016";"Leidsegracht-Noord";"       8"
"1.1.1 Diefstal/inbraak woning";"2017";"Leidsegracht-Noord";"       5"
"1.1.1 Diefstal/inbraak woning";"2018";"Leidsegracht-Noord";"       5"
"1.1.1 Diefstal/inbraak woning";"2019";"Leidsegracht-Noord";"       8"
"1.1.1 Diefstal/inbraak woning";"2020";"Leidsegracht-Noord";"       7"
"1.1.1 Diefstal/inbraak woning";"2021";"Leidsegracht-Noord";"       3"
"1.1.1 Diefstal/inbraak woning";"2022";"Leidsegracht-Noord";"       2"
"1.1.1 Diefstal/inbraak woning";"2023";"Leidsegracht-Noord";"       2"
"1.1.1 Diefstal/inbraak woning";"2012";"Burgwallen-Nieuwe Zijde";"      58"
"1.1.1 Diefstal/inbraak woning";"2013";"Burgwallen-Nieuwe Zijde";"      49"
"1.1.1 Diefstal/inbraak woning";"2014";"Burgwallen-Nieuwe Zijde";"      18"
"1.1.1 Diefstal/inbraak woning";"2015";"Burgwallen-Nieuwe Zijde";"      36"
"1.1.1 Diefstal/inbraak woning";"2016";"Burgwallen-Nieuwe Zijde";"      20"
"1.1.1 Diefstal/inbraak woning";"2017";"Burgwallen-Nieuwe Zijde";"      19"
