"Soort misdrijf";"Perioden";"Wijken en buurten";"Geregistreerde misdrijven (aantal)"
"1.3.1 Ongevallen (weg)";"2015";"Leidsegracht-Noord";"      14"
"1.3.1 Ongevallen (weg)";"2016";"Leidsegracht-Noord";"      23"
"1.3.1 Ongevallen (weg)";"2017";"Leidsegracht-Noord";"      10"
"1.3.1 Ongevallen (weg)";"2018";"Leidsegracht-Noord";"      17"
"1.3.1 Ongevallen (weg)";"2019";"Leidsegracht-Noord";"       6"
"1.3.1 Ongevallen (weg)";"2020";"Leidsegracht-Noord";"       6"
"1.3.1 Ongevallen (weg)";"2021";"Leidsegracht-Noord";"      11"
"1.3.1 Ongevallen (weg)";"2022";"Leidsegracht-Noord";"      24"
"1.3.1 Ongevallen (weg)";"2023";"Leidsegracht-Noord";"      17"
"1.3.1 Ongevallen (weg)";"2012";"Burgwallen-Nieuwe Zijde";"      63"
"1.3.1 Ongevallen (weg)";"2013";"Burgwallen-Nieuwe Zijde";"      77"
"1.3.1 Ongevallen (weg)";"2014";"Burgwallen-Nieuwe Zijde";"      60"
"1.3.1 Ongevallen (weg)";"2015";"Burgwallen-Nieuwe Zijde";"      64"
"1.3.1 Ongevallen (weg)";"2016";"Burgwallen-Nieuwe Zijde";"      73"
"1.3.1 Ongevallen (weg)";"2017";"Burgwallen-Nieuwe Zijde";"      85"
"1.3.1 Ongevallen (weg)";"2018";"Burgwallen-Nieuwe Zijde";"      69"
"1.3.1 Ongevallen (weg)";"2019";"Burgwallen-Nieuwe Zijde";"      51"
"1.3.1 Ongevallen (weg)";"2020";"Burgwallen-Nieuwe Zijde";"      50"
"1.3.1 Ongevallen (weg)";"2021";"Burgwallen-Nieuwe Zijde";"      43"
"1.3.1 Ongevallen (weg)";"2022";"Burgwallen-Nieuwe Zijde";"      65"
"1.3.1 Ongevallen (weg)";"2023";"Burgwallen-Nieuwe Zijde";"      65"
"1.3.1 Ongevallen (weg)";"2012";"Stationsplein e.o.";"       4"
"1.3.1 Ongevallen (weg)";"2013";"Stationsplein e.o.";"       9"
"1.3.1 Ongevallen (weg)";"2014";"Stationsplein e.o.";"       9"
"1.3.1 Ongevallen (weg)";"2015";"Stationsplein e.o.";"       4"
"1.3.1 Ongevallen (weg)";"2016";"Stationsplein e.o.";"       4"
"1.3.1 Ongevallen (weg)";"2017";"Stationsplein e.o.";"       9"
"1.3.1 Ongevallen (weg)";"2018";"Stationsplein e.o.";"       6"
"1.3.1 Ongevallen (weg)";"2019";"Stationsplein e.o.";"       5"
"1.3.1 Ongevallen (weg)";"2020";"Stationsplein e.o.";"       2"
"1.3.1 Ongevallen (weg)";"2021";"Stationsplein e.o.";"       8"
"1.3.1 Ongevallen (weg)";"2022";"Stationsplein e.o.";"       9"
"1.3.1 Ongevallen (weg)";"2023";"Stationsplein e.o.";"      12"
"1.3.1 Ongevallen (weg)";"2012";"Hemelrijk";"      13"
"1.3.1 Ongevallen (weg)";"2013";"Hemelrijk";"      15"
"1.3.1 Ongevallen (weg)";"2014";"Hemelrijk";"       9"
"1.3.1 Ongevallen (weg)";"2015";"Hemelrijk";"      19"
"1.3.1 Ongevallen (weg)";"2016";"Hemelrijk";"      13"
"1.3.1 Ongevallen (weg)";"2017";"Hemelrijk";"      16"
"1.3.1 Ongevallen (weg)";"2018";"Hemelrijk";"      15"
"1.3.1 Ongevallen (weg)";"2019";"Hemelrijk";"      14"
"1.3.1 Ongevallen (weg)";"2020";"Hemelrijk";"      12"
"1.3.1 Ongevallen (weg)";"2021";"Hemelrijk";"       7"
"1.3.1 Ongevallen (weg)";"2022";"Hemelrijk";"      14"
"1.3.1 Ongevallen (weg)";"2023";"Hemelrijk";"       2"
"1.3.1 Ongevallen (weg)";"2012";"Nieuwendijk-Noord";"       8"
"1.3.1 Ongevallen (weg)";"2013";"Nieuwendijk-Noord";"       7"
