"Wijken en buurten";"Inkomen/Inkomen van personen/Aantal inkomensontvangers   (aantal)";"Inkomen/Inkomen van personen/Gemiddeld inkomen per inkomensontvanger  (x 1 000 euro)";"Inkomen/Inkomen van personen/Gemiddeld inkomen per inwoner  (x 1 000 euro)";"Inkomen/Inkomen van personen/40% personen met laagste inkomen (%)";"Inkomen/Inkomen van personen/20% personen met hoogste inkomen (%)";"Inkomen/Inkomen van huishoudens/Gem. gestandaardiseerd inkomen van huish (x 1 000 euro)";"Inkomen/Inkomen van huishoudens/40% huishoudens met laagste inkomen (%)";"Inkomen/Inkomen van huishoudens/20% huishoudens met hoogste inkomen (%)";"Inkomen/Inkomen van huishoudens/Huishoudens met een laag inkomen (%)";"Inkomen/Inkomen van huishoudens/Huish. onder of rond sociaal minimum (%)";"Inkomen/Inkomen van huishoudens/Huishoudens tot 110% van sociaal minimum (%)";"Inkomen/Inkomen van huishoudens/Huishoudens tot 120% van sociaal minimum (%)";"Inkomen/Inkomen van huishoudens/Mediaan vermogen van particuliere huish. (x 1 000 euro)"
"Sarphatiparkbuurt";4400;39,4;34,9;34,1;29;29,9;53,8;15;11,4;11;14;16,3;8,6
"Nieuwe Pijp";10500;40,4;35,2;35,7;29,5;30,3;53,1;17,3;13,6;13,4;17,5;20,3;10,2
"Willibrordusbuurt";2200;35,3;31,5;42,1;24;27;61,7;14,1;15,4;16,2;20,6;25,2;6,1
"Van der Helstpleinbuurt";3300;46,4;40,2;32,1;32,9;33,8;49,1;19,7;12,6;11,7;15;16,5;9,8
"Lizzy Ansinghbuurt";2000;36,5;31,4;38,3;26,2;28,1;53,4;16,2;16,2;14,4;20,5;23,8;8,7
"Cornelis Troostbuurt";3000;40,2;35;33,2;32;30,2;50,7;17,9;11,5;12,2;15,9;18,3;15,1
"Zuid Pijp";6900;29,3;25;47,3;17;24,6;62,3;9,8;18,7;18,5;25,5;30;3,5
"Diamantbuurt";2600;28,5;24;48,6;16,5;24,5;63,4;9,6;19,4;19,2;26,8;31,4;3,3
"Burgemeester Tellegenbuurt Oost";2400;30,3;25,9;45;17,9;25,3;60,4;10,1;16,6;16,6;22,5;26,9;3,6
"Burgemeester Tellegenbuurt West";1900;29;25,1;48,4;16,5;23,9;63;9,6;20,3;19,9;27,3;32;3,8
"Weesperzijde";4400;46,3;39,3;31,5;37,1;36,5;45,7;24,9;10,4;9,4;13,2;15,1;20,9
"Swammerdambuurt";1700;50,4;43;29,2;41,6;38,9;43,1;28,2;9,8;8;11,2;12,3;44,4
"Weesperzijde Midden/Zuid";2500;45,7;38,4;30,6;36,3;37,1;43,9;25;10,4;10,2;14,1;16,4;23,4
"Parooldriehoek";200;19,7;17,9;63,4;8,8;14,7;82,1;1,2;;;;;0
"Oosterparkbuurt";9000;34;28,8;41,1;24,2;27,4;55,7;15,1;17;16,4;21,3;24,5;5,4
"Oosterparkbuurt Noordwest";3400;33,1;29;41,1;23,1;26,8;57,9;13;15,5;15,1;19,1;22,7;4,5
"Oosterpark";100;24,9;22,9;46,9;10,6;19,2;76;0;;;;;0,3
"Oosterparkbuurt Zuidoost";3000;37,4;31;37,5;28,9;29,7;50,3;20,4;14,4;14,3;18,6;21,2;13,7
"Oosterparkbuurt Zuidwest";2500;31,6;26,1;45;20,7;26,1;58,1;12,7;21,6;20,5;26,8;30;3,4
"Dapperbuurt";8200;32,7;27,7;43,1;22,6;26,2;57,5;13,7;16,4;16,3;22;25,8;5
"Dapperbuurt Noord";3600;30,6;26,1;45;20,6;25,4;57,8;11,7;15,9;15,9;21,9;26;5,7
"Dapperbuurt Zuid";3200;30,7;26,2;44,6;20,1;24,8;61,3;11,8;17,9;17,5;23;26,9;2,6
"Oostpoort";1400;43;34,5;34,9;33,5;31,6;47,4;24,2;14,4;14,6;19,8;22,8;16,1
"Transvaalbuurt";7600;29,4;24,2;46,2;17,9;24,8;58,6;12,2;18,5;17,5;23,1;26,6;2,5
"Transvaalbuurt West";3400;28,9;24,4;46,2;17,8;24,7;59,3;11,6;19,1;18,5;24;28;2,9
"Transvaalbuurt Oost";4200;29,8;24,1;46,2;18;24,9;58;12,7;18;16,7;22,4;25,5;2,3
"Indische Buurt West";10400;30,4;25,2;43,7;20,1;25,5;54,2;12,5;17,3;16;21,4;25,2;3,6
"Noordwestkwadrant Indische buurt Noord";3100;35;29,5;36,1;26,3;27,6;51,5;14,9;15,3;13,5;17,8;21,1;8,2
"Noordwestkwadrant Indische buurt Zuid";3900;31,4;26,4;41,5;22,1;26;52,7;13,5;15,5;14,8;19,5;23,1;3
"Zuidwestkwadrant Indische buurt";3300;24,7;19,9;53,5;12,1;22,6;59,2;8,7;21,6;20,1;27,6;32,2;2,1
"Indische Buurt Oost";8100;27,7;22,4;48,5;15,8;24;58,9;10,7;19,6;18,7;24,9;29,3;2,4
"Noordoostkwadrant Indische buurt";4700;26,8;21,8;49,3;14,2;23,2;62,1;9;20,8;20,5;27,3;31,7;2,1
"Zuidoostkwadrant Indische buurt";2900;27;21,6;49,6;15,4;23,9;57;10,6;19,5;17,3;23,1;27,8;2
"Zeeburgerdijk Oost";400;43,2;36;30,1;38,1;37,2;27,8;36,4;4,4;2,9;5,4;6,4;232,7
"Flevopark";0;;;;;;;;;;;;
"Oostelijk Havengebied";14900;46,6;37,8;29,6;38,6;37,3;31,6;31,4;8,7;7,6;10;11,9;59,2
